time,lon,lat,speed
08:32:23,-96.2925,30.5520,6.1860
08:32:24,-96.2926,30.5521,7.1600
08:32:24,-96.2926,30.5521,7.1600
08:32:25,-96.2926,30.5521,8.1540
08:32:25,-96.2926,30.5521,8.1540
08:32:26,-96.2927,30.5522,8.9880
08:32:26,-96.2927,30.5522,8.9880
08:32:27,-96.2928,30.5522,9.8320
08:32:27,-96.2928,30.5522,9.8320
08:32:28,-96.2929,30.5523,10.5590
08:32:28,-96.2929,30.5523,10.5590
08:32:29,-96.2929,30.5524,11.1170
08:32:29,-96.2929,30.5524,11.1170
08:32:30,-96.2930,30.5524,11.4620
08:32:30,-96.2930,30.5524,11.4620
08:32:31,-96.2931,30.5525,11.7620
08:32:31,-96.2931,30.5525,11.7620
08:32:32,-96.2932,30.5526,12.0240
08:32:32,-96.2932,30.5526,12.0240
08:32:33,-96.2933,30.5526,12.2890
08:32:33,-96.2933,30.5526,12.2890
08:32:34,-96.2934,30.5527,12.5430
08:32:34,-96.2934,30.5527,12.5430
08:32:35,-96.2935,30.5528,12.7440
08:32:35,-96.2935,30.5528,12.7440
08:32:36,-96.2936,30.5529,12.9100
08:32:36,-96.2936,30.5529,12.9100
08:32:37,-96.2937,30.5529,13.0820
08:32:37,-96.2937,30.5529,13.0820
08:32:38,-96.2938,30.5530,13.1930
08:32:38,-96.2938,30.5530,13.1930
08:32:39,-96.2939,30.5531,13.2220
08:32:39,-96.2939,30.5531,13.2220
08:32:40,-96.2940,30.5532,13.0420
08:32:40,-96.2940,30.5532,13.0420
08:32:41,-96.2941,30.5532,12.6730
08:32:41,-96.2941,30.5532,12.6730
08:32:42,-96.2942,30.5533,12.1290
08:32:42,-96.2942,30.5533,12.1290
08:32:43,-96.2943,30.5534,11.0690
08:32:43,-96.2943,30.5534,11.0690
08:32:44,-96.2944,30.5534,9.9000
08:32:44,-96.2944,30.5534,9.9000
08:32:45,-96.2945,30.5535,8.5600
08:32:45,-96.2945,30.5535,8.5600
08:32:46,-96.2945,30.5535,6.9860
08:32:46,-96.2945,30.5535,6.9860
08:32:47,-96.2946,30.5536,5.2780
08:32:47,-96.2946,30.5536,5.2780
08:32:48,-96.2946,30.5536,3.7740
08:32:48,-96.2946,30.5536,3.7740
08:32:49,-96.2946,30.5536,3.6820
08:32:49,-96.2946,30.5536,3.6820
08:32:50,-96.2947,30.5536,4.0440
08:32:50,-96.2947,30.5536,4.0440
08:32:51,-96.2947,30.5537,4.5490
08:32:51,-96.2947,30.5537,4.5490
08:32:52,-96.2946,30.5537,5.1390
08:32:52,-96.2946,30.5537,5.1390
08:32:53,-96.2946,30.5538,5.8540
08:32:53,-96.2946,30.5538,5.8540
08:32:54,-96.2946,30.5538,6.7750
08:32:54,-96.2946,30.5538,6.7750
08:32:55,-96.2945,30.5539,7.6450
08:32:55,-96.2945,30.5539,7.6450
08:32:56,-96.2945,30.5539,8.2350
08:32:56,-96.2945,30.5539,8.2350
08:32:57,-96.2944,30.5540,8.4960
08:32:57,-96.2944,30.5540,8.4960
08:32:58,-96.2943,30.5540,8.5160
08:32:58,-96.2943,30.5540,8.5160
08:32:59,-96.2943,30.5541,8.1450
08:32:59,-96.2943,30.5541,8.1450
08:33:00,-96.2942,30.5542,7.7130
08:33:00,-96.2942,30.5542,7.7130
08:33:01,-96.2942,30.5542,7.1240
08:33:01,-96.2942,30.5542,7.1240
08:33:02,-96.2941,30.5542,6.2180
08:33:02,-96.2941,30.5542,6.2180
08:33:03,-96.2941,30.5543,5.1130
08:33:03,-96.2941,30.5543,5.1130
08:33:04,-96.2941,30.5543,3.9500
08:33:04,-96.2941,30.5543,3.9500
08:33:05,-96.2940,30.5543,2.3340
08:33:05,-96.2940,30.5543,2.3340
08:33:06,-96.2940,30.5543,1.1070
08:33:06,-96.2940,30.5543,1.1070
08:33:07,-96.2940,30.5544,0.3990
08:33:07,-96.2940,30.5544,0.3990
08:33:08,-96.2940,30.5544,0.0610
08:33:08,-96.2940,30.5544,0.0610
08:33:09,-96.2940,30.5544,0.0040
08:33:09,-96.2940,30.5544,0.0040
08:33:10,-96.2940,30.5544,0.0060
08:33:10,-96.2940,30.5544,0.0060
08:33:11,-96.2940,30.5544,0.0080
08:33:11,-96.2940,30.5544,0.0080
08:33:12,-96.2940,30.5544,0.0080
08:33:12,-96.2940,30.5544,0.0080
08:33:13,-96.2940,30.5544,0.0150
08:33:13,-96.2940,30.5544,0.0150
08:33:14,-96.2940,30.5544,0.0190
08:33:14,-96.2940,30.5544,0.0190
08:33:15,-96.2940,30.5544,0.0110
08:33:15,-96.2940,30.5544,0.0110
08:33:16,-96.2940,30.5544,0.0060
08:33:16,-96.2940,30.5544,0.0060
08:33:17,-96.2940,30.5544,0.0040
08:33:17,-96.2940,30.5544,0.0040
08:33:18,-96.2940,30.5544,0.0060
08:33:18,-96.2940,30.5544,0.0060
08:33:19,-96.2940,30.5544,0.0100
08:33:19,-96.2940,30.5544,0.0100
08:33:20,-96.2940,30.5544,0.0040
08:33:20,-96.2940,30.5544,0.0040
08:33:21,-96.2940,30.5544,0.0030
08:33:21,-96.2940,30.5544,0.0030
08:33:22,-96.2940,30.5544,0.0060
08:33:22,-96.2940,30.5544,0.0060
08:33:23,-96.2940,30.5544,0.0110
08:33:23,-96.2940,30.5544,0.0110
08:33:24,-96.2940,30.5544,0.0070
08:33:24,-96.2940,30.5544,0.0070
08:33:25,-96.2940,30.5544,0.0030
08:33:25,-96.2940,30.5544,0.0030
08:33:26,-96.2940,30.5544,0.0070
08:33:26,-96.2940,30.5544,0.0070
08:33:27,-96.2940,30.5544,0.0040
08:33:27,-96.2940,30.5544,0.0040
08:33:28,-96.2940,30.5544,0.0090
08:33:28,-96.2940,30.5544,0.0090
08:33:29,-96.2940,30.5544,0.0040
08:33:29,-96.2940,30.5544,0.0040
08:33:30,-96.2940,30.5544,0.0180
08:33:30,-96.2940,30.5544,0.0180
08:33:31,-96.2940,30.5544,0.0060
08:33:31,-96.2940,30.5544,0.0060
08:33:32,-96.2940,30.5544,0.0070
08:33:32,-96.2940,30.5544,0.0070
08:33:33,-96.2940,30.5544,0.0100
08:33:33,-96.2940,30.5544,0.0100
08:33:34,-96.2940,30.5544,0.0100
08:33:34,-96.2940,30.5544,0.0100
08:33:35,-96.2940,30.5544,0.0020
08:33:35,-96.2940,30.5544,0.0020
08:33:36,-96.2940,30.5544,0.0110
08:33:36,-96.2940,30.5544,0.0110
08:33:37,-96.2940,30.5544,0.0060
08:33:37,-96.2940,30.5544,0.0060
08:33:38,-96.2940,30.5544,0.0060
08:33:38,-96.2940,30.5544,0.0060
08:33:39,-96.2940,30.5544,0.0070
08:33:40,-96.2940,30.5544,0.0070
08:33:40,-96.2940,30.5544,0.0090
08:33:41,-96.2940,30.5544,0.0090
08:33:41,-96.2940,30.5544,0.0110
08:33:42,-96.2940,30.5544,0.0110
08:33:42,-96.2940,30.5544,0.0120
08:33:43,-96.2940,30.5544,0.0120
08:33:43,-96.2940,30.5544,0.0050
08:33:44,-96.2940,30.5544,0.0050
08:33:44,-96.2940,30.5544,0.0120
08:33:45,-96.2940,30.5544,0.0120
08:33:45,-96.2940,30.5544,0.0050
08:33:46,-96.2940,30.5544,0.0050
08:33:46,-96.2940,30.5544,0.0070
08:33:47,-96.2940,30.5544,0.0070
08:33:47,-96.2940,30.5544,0.0030
08:33:48,-96.2940,30.5544,0.0030
08:33:48,-96.2940,30.5544,0.0030
08:33:49,-96.2940,30.5544,0.0030
08:33:49,-96.2940,30.5544,0.0080
08:33:50,-96.2940,30.5544,0.0080
08:33:50,-96.2940,30.5544,0.0080
08:33:51,-96.2940,30.5544,0.0080
08:33:51,-96.2940,30.5544,0.0130
08:33:52,-96.2940,30.5544,0.0130
08:33:52,-96.2940,30.5544,0.0150
08:33:53,-96.2940,30.5544,0.0150
08:33:53,-96.2940,30.5544,0.0080
08:33:54,-96.2940,30.5544,0.0080
08:33:54,-96.2940,30.5544,0.0200
08:33:55,-96.2940,30.5544,0.0200
08:33:55,-96.2940,30.5544,0.0100
08:33:56,-96.2940,30.5544,0.0100
08:33:56,-96.2940,30.5544,0.0030
08:33:57,-96.2940,30.5544,0.0030
08:33:57,-96.2940,30.5544,0.0160
08:33:58,-96.2940,30.5544,0.0160
08:33:58,-96.2940,30.5544,0.0130
08:33:59,-96.2940,30.5544,0.0130
08:33:59,-96.2940,30.5544,0.0040
08:34:00,-96.2940,30.5544,0.0040
08:34:00,-96.2940,30.5544,0.0080
08:34:01,-96.2940,30.5544,0.0080
08:34:01,-96.2940,30.5544,0.0080
08:34:02,-96.2940,30.5544,0.0080
08:34:02,-96.2940,30.5544,0.0110
08:34:03,-96.2940,30.5544,0.0110
08:34:03,-96.2940,30.5544,0.0060
08:34:04,-96.2940,30.5544,0.0050
08:34:04,-96.2940,30.5544,0.0050
08:34:05,-96.2940,30.5544,0.0040
08:34:05,-96.2940,30.5544,0.0040
08:34:06,-96.2940,30.5544,0.0520
08:34:06,-96.2940,30.5544,0.0520
08:34:07,-96.2940,30.5544,0.0120
08:34:07,-96.2940,30.5544,0.0120
08:34:08,-96.2940,30.5544,0.0140
08:34:08,-96.2940,30.5544,0.0140
08:34:09,-96.2940,30.5544,0.0040
08:34:09,-96.2940,30.5544,0.0040
08:34:10,-96.2940,30.5544,0.0220
08:34:10,-96.2940,30.5544,0.0220
08:34:11,-96.2940,30.5544,0.0040
08:34:11,-96.2940,30.5544,0.0040
08:34:12,-96.2940,30.5544,0.0140
08:34:12,-96.2940,30.5544,0.0140
08:34:13,-96.2940,30.5544,0.0020
08:34:13,-96.2940,30.5544,0.0020
08:34:14,-96.2940,30.5544,0.0210
08:34:14,-96.2940,30.5544,0.0210
08:34:15,-96.2940,30.5544,0.0060
08:34:15,-96.2940,30.5544,0.0060
08:34:16,-96.2940,30.5544,0.0060
08:34:16,-96.2940,30.5544,0.0060
08:34:17,-96.2940,30.5544,0.0030
08:34:17,-96.2940,30.5544,0.0030
08:34:18,-96.2940,30.5544,0.0170
08:34:18,-96.2940,30.5544,0.0170
08:34:19,-96.2940,30.5544,0.0050
08:34:19,-96.2940,30.5544,0.0050
08:34:20,-96.2940,30.5544,0.0210
08:34:20,-96.2940,30.5544,0.0210
08:34:21,-96.2940,30.5544,0.0060
